2026-05-07 15:45:45,633 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:45:45,653 | WARNING | aiogram.dispatcher | Sleep for 4.911865 seconds and try again... (tryings = 41, bot id = 8547453594)
2026-05-07 15:46:11,938 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:46:11,939 | WARNING | aiogram.dispatcher | Sleep for 5.138074 seconds and try again... (tryings = 42, bot id = 8547453594)
2026-05-07 15:46:38,359 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:46:38,360 | WARNING | aiogram.dispatcher | Sleep for 4.912402 seconds and try again... (tryings = 43, bot id = 8547453594)
2026-05-07 15:47:04,641 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:47:04,790 | WARNING | aiogram.dispatcher | Sleep for 4.885277 seconds and try again... (tryings = 44, bot id = 8547453594)
2026-05-07 15:47:31,402 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:47:31,409 | WARNING | aiogram.dispatcher | Sleep for 4.833833 seconds and try again... (tryings = 45, bot id = 8547453594)
2026-05-07 15:47:57,478 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:47:57,483 | WARNING | aiogram.dispatcher | Sleep for 4.901114 seconds and try again... (tryings = 46, bot id = 8547453594)
2026-05-07 15:48:23,411 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:48:23,840 | WARNING | aiogram.dispatcher | Sleep for 5.165277 seconds and try again... (tryings = 47, bot id = 8547453594)
2026-05-07 15:48:50,395 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:48:50,611 | WARNING | aiogram.dispatcher | Sleep for 4.995937 seconds and try again... (tryings = 48, bot id = 8547453594)
2026-05-07 15:49:17,097 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:49:17,098 | WARNING | aiogram.dispatcher | Sleep for 5.120553 seconds and try again... (tryings = 49, bot id = 8547453594)
2026-05-07 15:49:43,494 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:49:43,496 | WARNING | aiogram.dispatcher | Sleep for 4.980482 seconds and try again... (tryings = 50, bot id = 8547453594)
2026-05-07 15:50:10,311 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:50:10,790 | WARNING | aiogram.dispatcher | Sleep for 5.019425 seconds and try again... (tryings = 51, bot id = 8547453594)
2026-05-07 15:50:37,508 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:50:37,512 | WARNING | aiogram.dispatcher | Sleep for 5.050801 seconds and try again... (tryings = 52, bot id = 8547453594)
2026-05-07 15:51:04,496 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:51:04,777 | WARNING | aiogram.dispatcher | Sleep for 5.117780 seconds and try again... (tryings = 53, bot id = 8547453594)
2026-05-07 15:51:31,423 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:51:31,426 | WARNING | aiogram.dispatcher | Sleep for 5.193388 seconds and try again... (tryings = 54, bot id = 8547453594)
2026-05-07 15:51:58,023 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:51:58,025 | WARNING | aiogram.dispatcher | Sleep for 5.165168 seconds and try again... (tryings = 55, bot id = 8547453594)
2026-05-07 15:52:24,608 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:52:24,611 | WARNING | aiogram.dispatcher | Sleep for 5.059484 seconds and try again... (tryings = 56, bot id = 8547453594)
2026-05-07 15:52:51,095 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:52:51,097 | WARNING | aiogram.dispatcher | Sleep for 4.957078 seconds and try again... (tryings = 57, bot id = 8547453594)
2026-05-07 15:53:17,126 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:53:17,130 | WARNING | aiogram.dispatcher | Sleep for 5.191127 seconds and try again... (tryings = 58, bot id = 8547453594)
2026-05-07 15:53:43,406 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:53:43,409 | WARNING | aiogram.dispatcher | Sleep for 4.990987 seconds and try again... (tryings = 59, bot id = 8547453594)
2026-05-07 15:54:09,761 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:54:09,774 | WARNING | aiogram.dispatcher | Sleep for 5.032870 seconds and try again... (tryings = 60, bot id = 8547453594)
2026-05-07 15:54:36,232 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:54:36,233 | WARNING | aiogram.dispatcher | Sleep for 5.084476 seconds and try again... (tryings = 61, bot id = 8547453594)
2026-05-07 15:55:02,547 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:55:02,550 | WARNING | aiogram.dispatcher | Sleep for 5.052103 seconds and try again... (tryings = 62, bot id = 8547453594)
2026-05-07 15:55:29,188 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:55:29,381 | WARNING | aiogram.dispatcher | Sleep for 4.990893 seconds and try again... (tryings = 63, bot id = 8547453594)
2026-05-07 15:55:56,349 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:55:56,924 | WARNING | aiogram.dispatcher | Sleep for 5.109252 seconds and try again... (tryings = 64, bot id = 8547453594)
2026-05-07 15:56:23,418 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:56:23,904 | WARNING | aiogram.dispatcher | Sleep for 4.856986 seconds and try again... (tryings = 65, bot id = 8547453594)
2026-05-07 15:56:50,616 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:56:50,622 | WARNING | aiogram.dispatcher | Sleep for 4.949118 seconds and try again... (tryings = 66, bot id = 8547453594)
2026-05-07 15:57:17,027 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:57:17,127 | WARNING | aiogram.dispatcher | Sleep for 4.914408 seconds and try again... (tryings = 67, bot id = 8547453594)
2026-05-07 15:57:43,627 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:57:43,646 | WARNING | aiogram.dispatcher | Sleep for 4.965479 seconds and try again... (tryings = 68, bot id = 8547453594)
2026-05-07 15:58:10,638 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ClientConnectorError: Cannot connect to host api.telegram.org:443 ssl:default [Превышен таймаут семафора]
2026-05-07 15:58:10,768 | WARNING | aiogram.dispatcher | Sleep for 5.012187 seconds and try again... (tryings = 69, bot id = 8547453594)
